company,adress,lat,lon
cardtronics,"150 Spa Road,London,UK SE16 4AU",51.49621,-0.06788044
cardtronics,"St Katherines Service Station,77-101 The Highway,UK E1W 2",51.50949,-0.0637201
cardtronics,"Sloane Avenue,LONDON,UK SW3 3EL",51.49231,-0.1674194
cardtronics,"77-101 The Highway,London,UK E1W 2BN",51.50941,-0.06350414
cardtronics,"3 Church Street,LONDON,UK NW8 8EE",51.52443,-0.1684999
cardtronics,"9 Lansdowne Way,LONDON,UK SW8 1HL",51.47448,-0.1212507
cardtronics,"160 Agar Grove,LONDON,UK NW1 9TY",51.54313,-0.1276096
cardtronics,"160 Agar Road,LONDON,UK NW1 9",51.54337,-0.1264532
cardtronics,"20 Cale Street,CHELSEA GREEN,UK SW3 3QU",51.49064,-0.1668727
cardtronics,"3-7 Burselm St,,LONDON,UK E1 2LL",51.51326,-0.06288029
cardtronics,"242 Wandsworth Road,LONDON,UK SW8 2JS",51.47463,-0.1325049
cardtronics,"20-24 Whitmore Road,LONDON,UK N1 5QA",51.53605,-0.08175597
cardtronics,"262-274 Camberwell Road,LONDON,UK SE5 0DP",51.47673,-0.09430591
cardtronics,"213-215 Upper Street,LONDON,UK N1 1RL",51.54353,-0.103736
cardtronics,"213-215 Upper Street,LONDON,UK N1 1RL",51.54353,-0.103736
cardtronics,"115 Cannon Street Road,LONDON,UK E1 2LX",51.51327,-0.061724
cardtronics,"Praed Street,LONDON,UK W2 1RH",51.51534,-0.1757131
cardtronics,"Praed Street,LONDON,UK W2 1RH",51.51534,-0.1757131
cardtronics,"102-106 The Highway,LONDON,UK E1W 2BU",51.50908,-0.06122785
cardtronics,"262 Wandsworth Road,LONDON,UK SW8 2JR",51.47405,-0.133133
cardtronics,"194-196 Kingsland Road,LONDON,UK E2 8EB",51.53405,-0.07664952
cardtronics,"326 Queenstown Road,London,UK SW8 4LT",51.47707,-0.1481352
cardtronics,"139A Park Road,LONDON,UK NW8 7HT",51.52967,-0.1679719
cardtronics,"383-393 Edgware Road,London,UK W2 1BT",51.52282,-0.1747002
cardtronics,"133-135 Southampton Way,LONDON,UK SE5 7EW",51.47831,-0.08464406
cardtronics,"156 SOUTHAMPTON WAY,LONDON,UK SE5 7EW",51.47831,-0.08464406
cardtronics,"Praed Street,LONDON,UK W2 1HQ",51.51745,-0.1774176
cardtronics,"Praed Street,LONDON,UK W2 1HQ",51.51745,-0.1774176
cardtronics,"227-229 Whitechapel Road,LONDON,UK E1 1DB",51.51912,-0.06094102
cardtronics,"255 Whitechapel Road,LONDON,UK E1 1DB",51.51912,-0.06094102
cardtronics,"Unit 16 The Stables,London,UK NW1 8",51.54219,-0.1472135
cardtronics,"Fulham Wing,LONDON,UK SW3 6LY",51.48969,-0.1708319
cardtronics,"Sydney Street,LONDON,UK SW3 6NP",51.48969,-0.1708319
