name,lat,lon
Croydon Flyover Fell Rd,51.3708,-0.0973
East Hill Geraldinie Rd,51.4575,-0.18575
Blackfriars Rd Pocock St,51.5018,-0.10451
Euston Rd Grays Inn Rd,51.5308,-0.12265
West Parkside John Harrison Wy,51.4949,0.01184
Commercial Rd Westport St,51.5132,-0.04356
Parliament Square,51.5011,-0.12628
Vauxhall Brd Rd Drummond Gt,51.4897,-0.13145
Commercial Rd Gowers Walk,51.5149,-0.06808
Baker St Marylebone Rd,51.5222,-0.15768
High Rd Ruckholt Rd,51.5584,-0.00707
Bath Rd Berkeley Avenue,51.4793,-0.40988
Finchley High Rd A406,51.6013,-0.17396
Blackfriars Rd St George,51.499,-0.10493
Commercial Rd Belgrave St,51.513,-0.04164
Caledonian R Copnhagen S,51.5369,-0.11649
High St Colliers Wd Cavendish Rd,51.4188,-0.17743
Kennington Lane Newington Butts,51.4914,-0.10283
Chepstow Rd Addiscombe Rd,51.375,-0.08142
Brixton Hill   Elm Park,51.4517,-0.12151
Hospital Bridge Rd,51.4422,-0.3654
Harrow Rd Westbourne Terrace,51.5198,-0.18509
Hackney Rd Camb Heath Rd,51.5326,-0.05702
A3 Clapham Rd Caldwell St,51.4777,-0.11667
City Road w of Bath St,51.5282,-0.09177
Catford One Way Rushey Green,51.4449,-0.02012
Angel Islington,51.5319,-0.10642
Battersea Rise Bolingbrooke Gr,51.4598,-0.17159
Kensington Hi St Warwick Rd,51.4967,-0.20537
Bromley Rd Oakridge Ln,51.425,-0.00454
Pooles Lane West,51.5312,0.13762
CHARLIE BROWNS ROUNDABOUT,51.5931,0.03633
Albert Emb Tinworth St,51.4902,-0.12259
Delamare Rd Broadway,51.5133,-0.3911
Ferry Lane,51.5119,0.18383
Hendon Way   Ridge Hill,51.5702,-0.20871
Kennington Pk Rd Braganza St,51.4868,-0.10738
Hanger Lane Uxbridge Rd,51.5117,-0.29219
Burdett Rd Ackroyd Drive,51.5181,-0.03008
Finchley Road Hendon Way,51.5593,-0.19686
Holloway Rd Sth Hargrave Rd,51.5646,-0.13214
A501 W of Mabledon Place,51.5283,-0.12807
Colchester Rd Gubbins Ln,51.598,0.23161
Bath Rd   Oxford Ave,51.4807,-0.42447
Brixton Rd Island Place,51.4783,-0.11223
Buck Palace Rd Eccleston Bridge,51.4941,-0.14655
Balham High Rd Ramsden Rd,51.4448,-0.15179
Blackfriars Rd Dolben St,51.5049,-0.10466
Haymarket Pall Mall,51.5078,-0.13134
Camberwell N Rd Camberwell Pas,51.4749,-0.09507
A406 Billet Upass E,51.6007,-0.01594
H.Stead Rd Cardington St,51.5294,-0.13854
Earls Crt Rd Earls Crt Station,51.4921,-0.19266
A40 Westway Paddington Grn,51.5202,-0.17351
Camden High St Kentish Town Rd,51.5391,-0.14265
Blackfriars Rd Stamford St,51.5072,-0.10443
A3220 Northern Roundabout,51.5154,-0.21693
Kennington Oval,51.483,-0.11601
A10 South of Farleigh Rd,51.5548,-0.07466
Limehouse Tnl Westferry Rd Entr,51.5077,-0.02766
Brighton Road,51.3324,-0.12398
A2 Riefield Road,51.4586,0.07559
A12 Lstone E 3860A,51.5685,0.00745
East India Dock Rd Leamouth Rd,51.5128,-0.00081
A12 Colville R 3732A,51.559,-0.00218
Herne Hill Norwood Rd,51.4522,-0.10134
Montfichet Rd Westfield Ave Car Park B,51.5411,-0.00528
London Rd Craignish Av,51.4085,-0.12186
Grt Central Way Drury Way,51.5547,-0.25591
